nama_jobs,type,category,subcategory,client_user_id,register_date,order_date,status_invoice,paid_at,total_paid
(Package - BASIC) Penulisan Artikel/Konten di Web atau Blog 500-1500 Kata (Inggris),package,Penulisan & Penerjemahan,Penulisan Blog & Article,ke******16,2023-10-01 03:01:00,2023-10-01 03:04:00,,1900-01-03 00:00:00,0
(Package - PLUS) Penulisan Deskripsi 50-300 Produk (Indonesia),package,Penulisan & Penerjemahan,Penulisan Deskripsi Produk,ko******66,2023-10-01 21:11:00,2023-10-01 21:15:00,,1900-01-03 00:00:00,0
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,pr******82,2023-10-01 23:06:00,2023-10-01 23:11:00,,1900-01-03 00:00:00,0
(Package - BASIC) Edit 15-60 Detik Video (Minimum Order 1 Video),package,"Video, Fotografi & Audio",Edit Video,na******34,2023-10-01 23:08:00,2023-10-01 23:12:00,,1900-01-03 00:00:00,0
Pemuda tangguh terhadap lingkungan,contest,Desain Grafis & Branding,Desain Lainnya,da******37,2023-10-01 23:30:00,2023-10-01 23:35:00,,1900-01-03 00:00:00,0
(Package - PREMIUM) Setup dan Mengelola Iklan Berbayar di Meta (FB/IG Ads) per Bulan,package,Pemasaran & Periklanan,Iklan Instagram & Facebook (Meta Ads),an*****en,2017-07-20 04:35:00,2023-10-03 01:04:00,,1900-01-03 00:00:00,0
VASC-JO-202310002,contest,Desain Grafis & Branding,Desain Website,b1****78,2015-04-17 17:09:00,2023-10-03 07:09:00,,1900-01-03 00:00:00,0
Desain grafis,contest,Desain Grafis & Branding,Desain Label,ro******34,2023-10-03 18:22:00,2023-10-03 18:28:00,,1900-01-03 00:00:00,0
(Package - BASIC) Penulisan Artikel/Konten di Web atau Blog 500-1500 Kata (Inggris),package,Penulisan & Penerjemahan,Penulisan Blog & Article,su*********a_,2023-10-03 14:09:00,2023-10-03 23:22:00,,1900-01-03 00:00:00,0
Belajar Bahasa Inggris,contest,Desain Grafis & Branding,Desain Kartu Nama dan Stationery,me******84,2023-10-04 00:09:00,2023-10-04 00:14:00,,1900-01-03 00:00:00,0
