nama_jobs,type,category,subcategory,client_user_id,register_date,order_date,status_invoice,paid_at,total_paid
(Package - BASIC) Penulisan Artikel/Konten di Web atau Blog 500-1500 Kata (Inggris),package,Penulisan & Penerjemahan,Penulisan Blog & Article,ke******16,"October 1, 2023, 3:01 AM","October 1, 2023, 3:04 AM",,"January 2, 1900, 12:00 AM",0
Kontes Desain Fasad Rumah,contest,Desain Grafis & Branding,Desain Interior,ne*******ke,"June 10, 2012, 11:17 PM","October 1, 2023, 4:08 AM",success,"October 1, 2023, 4:10 AM","5,132,985"
(Package - PLUS) Penulisan Deskripsi 50-300 Produk (Indonesia),package,Penulisan & Penerjemahan,Penulisan Deskripsi Produk,ko******66,"October 1, 2023, 9:11 PM","October 1, 2023, 9:15 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Pengetikan Teks,package,Penulisan & Penerjemahan,Jasa Pengetikan,pr******82,"October 1, 2023, 11:06 PM","October 1, 2023, 11:11 PM",,"January 2, 1900, 12:00 AM",0
(Package - BASIC) Edit 15-60 Detik Video (Minimum Order 1 Video),package,"Video, Fotografi & Audio",Edit Video,na******34,"October 1, 2023, 11:08 PM","October 1, 2023, 11:12 PM",,"January 2, 1900, 12:00 AM",0
Pemuda tangguh terhadap lingkungan,contest,Desain Grafis & Branding,Desain Lainnya,da******37,"October 1, 2023, 11:30 PM","October 1, 2023, 11:35 PM",,"January 2, 1900, 12:00 AM",0
editing untuk design packaging,private,,,Sh*****58,"April 9, 2017, 7:48 AM","October 2, 2023, 9:51 AM",success,"October 2, 2023, 9:52 AM","314,050"
(Package - PLUS) Desain Logo (1-4 Pilihan Desain),package,Desain Grafis & Branding,Desain Logo,sa******37,"October 2, 2023, 10:44 AM","October 2, 2023, 10:45 AM",success,"October 2, 2023, 8:10 PM","528,016"
(Package - BASIC) Desain Stiker LINE/WhatsApp/Telegram (8-12 Varian),package,Desain Grafis & Branding,Desain Lainnya,el********en,"July 24, 2023, 9:07 PM","October 2, 2023, 12:48 PM",success,"October 2, 2023, 12:49 PM","106,397"
Kontes Desain Flyer/Brosur Penerimaan Peserta Didik Baru 2024/2025 SMK Management Training System,contest,Desain Grafis & Branding,Desain Brosur/Flyer,ge******37,"September 28, 2023, 6:55 PM","October 2, 2023, 1:13 PM",success,"October 2, 2023, 1:15 PM","1,555,965"
(Package - BASIC) Desain & Posting IG & FB Feed/Stories (20-25 Desain),package,Pemasaran & Periklanan,Social Media Marketing,su**********sa,"May 25, 2022, 9:56 AM","October 2, 2023, 1:25 PM",success,"October 24, 2023, 5:41 PM","2,416,963"
Pembuatan Desain Brosur,private,,,yu*******00,"May 31, 2023, 11:09 AM","October 2, 2023, 2:20 PM",success,"October 10, 2023, 9:53 AM","522,999"
Saya membutuhkan Jasa Sosial Media Marketing,private,,,li*******ss,"October 8, 2020, 11:08 AM","October 2, 2023, 3:12 PM",success,"October 9, 2023, 10:10 AM","2,245,990"
Saya membutuhkan Jasa Sosial Media Marketing,private,,,li*******ss,"October 8, 2020, 11:08 AM","October 2, 2023, 3:12 PM",success,"October 9, 2023, 10:11 AM","2,245,951"
